lulc_code,nir,red,blue,green,emad,smad,bcmad,nir08,nir09,swir16,swir22,coastal,rededge1,rededge2,rededge3,mndwi,ndti,cai,ndvi,evi,savi,ndwi,b_g,b_r,swir22_swir16,mci,ndci,nbi,ndmi,bsi,awei,tc_wetness,y,x
5,0.2886,0.1429,0.1433,0.149,0.069246665,1.7462074e-07,3.665523e-06,0.3386,0.3225,0.2089,0.14830000000000002,0.052500000000000005,0.1404,0.27190000000000003,0.326,-0.1673651858060911,-0.02089756766015757,-0.46373850868232885,0.33765932792584014,0.5401166861143525,0.33765932792584014,-0.3190127970749544,0.9617449664429532,1.0027991602519244,0.7099090473910963,2.055555555555556,-0.008824567596187795,-0.16020100502512566,0.16020100502512566,-0.19457889641819948,-0.19337500000000007,-0.018002529999999996,-1542965.0,4248725.0
5,0.2917,0.08510000000000001,0.078,0.0976,0.0628355,1.8538236e-07,3.8361695e-06,0.3476,0.38620000000000004,0.1845,0.1126,0.0473,0.11170000000000001,0.26,0.3276,-0.30804679191775963,-0.0684181718664477,-0.2450119712689545,0.5483014861995753,0.529162901503327,0.5483014861995753,-0.4985872078088877,0.7991803278688524,0.9165687426556991,0.6102981029810298,2.6114592658907787,0.13516260162601623,-0.22511549769004624,0.22511549769004624,-0.30313711667254145,-0.36415000000000003,-0.04780153999999999,-1542945.0,4248765.0
5,0.3699,0.16090000000000002,0.16970000000000002,0.1875,0.07665126,1.6703308e-07,3.7271386e-06,0.4153,0.34550000000000003,0.2421,0.168,0.0596,0.16190000000000002,0.33380000000000004,0.4031,-0.12709497206703912,-0.07634902411021809,-0.4801569995638902,0.39374529012810844,0.7188838172321301,0.39374529012810844,-0.32723358449946177,0.9050666666666668,1.0546923555003107,0.6939281288723668,2.284743668931439,0.0030978934324659255,-0.2088235294117647,0.2088235294117647,-0.24260218767990793,-0.23754999999999993,-0.019471579999999912,-1543095.0,4248535.0
5,0.3413,0.1192,0.11800000000000001,0.1345,0.10142086,2.5402903e-07,6.4920455e-06,0.3789,0.3644,0.2333,0.1555,0.0541,0.1346,0.29660000000000003,0.3638,-0.2686242523110386,-0.0603074497437919,-0.3712957582800698,0.4823018458197611,0.6265898420827998,0.4823018458197611,-0.4346364018495166,0.8773234200743495,0.9899328859060403,0.6665237891127304,2.5356612184249627,0.0606776989755713,-0.18795683954054992,0.18795683954054992,-0.25149863760217983,-0.36877499999999996,-0.05615547000000002,-1542975.0,4248575.0
5,0.268,0.0902,0.0816,0.09870000000000001,0.093871094,3.5576224e-07,6.2931804e-06,0.303,0.29250000000000004,0.21250000000000002,0.1625,0.0592,0.157,0.2546,0.2938,-0.36568123393316193,-0.04499735309687669,-0.15909090909090912,0.4963707426018984,0.48429669228199135,0.4963707426018984,-0.46168530133624214,0.8267477203647416,0.9046563192904656,0.7647058823529411,1.7070063694267517,0.2702265372168285,-0.11550468262226844,0.11550468262226844,-0.16088328075709776,-0.35177499999999995,-0.05267590000000002,-1542895.0,4248705.0
5,0.2802,0.0849,0.0753,0.0989,0.097430274,2.3013055e-07,5.574305e-06,0.32780000000000004,0.40080000000000005,0.2175,0.137,0.0409,0.12760000000000002,0.258,0.31020000000000003,-0.3748419721871049,-0.07616974972796517,-0.2960413080895009,0.5349219391947412,0.5025921541413234,0.5349219391947412,-0.47823793194407815,0.7613751263902933,0.8869257950530036,0.6298850574712644,2.195924764890282,0.2009411764705883,-0.12597950572634117,0.12597950572634117,-0.23138205749913407,-0.38975000000000004,-0.06355004,-1543175.0,4248945.0
5,0.2325,0.198,0.20070000000000002,0.21050000000000002,0.103912376,2.054274e-07,6.2986283e-06,0.2639,0.3289,0.23600000000000002,0.20600000000000002,0.0641,0.1776,0.2338,0.262,-0.05711086226203806,-0.030599755201958408,-0.5158610271903322,0.08013937282229966,0.41873804971319323,0.08013937282229966,-0.04966139954853271,0.9534441805225653,1.0136363636363637,0.8728813559322034,1.3091216216216217,-0.054313099041533544,0.007470651013874072,-0.007470651013874072,-0.03487816531294793,0.0757000000000001,0.010722840000000046,-1542835.0,4248695.0
5,0.373,0.10490000000000001,0.101,0.1236,0.059753135,1.6978383e-07,3.0957053e-06,0.35600000000000004,0.3254,0.2768,0.22940000000000002,0.0621,0.20320000000000002,0.3019,0.3466,-0.38261738261738265,-0.08183807439824943,-0.23850398528510117,0.5609960242728604,0.6647923527994216,0.5609960242728604,-0.5022150624244865,0.8171521035598706,0.9628217349857007,0.8287572254335261,1.8356299212598424,0.3190522557611165,-0.14804555247768547,0.14804555247768547,-0.17283186935543726,-0.5073499999999999,-0.08684679999999999,-1542815.0,4248685.0
5,0.20620000000000002,0.1756,0.1405,0.1515,0.05275691,1.0209083e-07,2.5301142e-06,0.29710000000000003,0.2975,0.3078,0.28090000000000004,0.11810000000000001,0.2647,0.2882,0.3045,-0.3403004572175049,0.0736777743809233,-0.08662026295436968,0.08014667365112628,0.281829111562539,0.08014667365112628,-0.15292144254962264,0.9273927392739275,0.800113895216401,0.9126055880441846,0.7789950887797508,0.20236202589143762,0.19766536964980544,-0.19766536964980544,0.13670318725099603,-0.18152500000000005,-0.03746248000000001,-1540845.0,4244205.0
5,0.2707,0.24650000000000002,0.2695,0.2741,0.12237281,4.6869516e-07,5.104725e-06,0.28240000000000004,0.3052,0.2912,0.2818,0.12510000000000002,0.22260000000000002,0.2619,0.27690000000000003,-0.030249425084026185,-0.05301575105647326,-0.3659401926001013,0.04679040989945857,0.5906376552954904,0.04679040989945857,0.006240822320117501,0.9832178037212697,1.0933062880324542,0.9677197802197801,1.2160826594788858,-0.05094862502664677,0.03648336002847485,-0.03648336002847485,-0.011137108095460946,0.1823499999999999,0.01389976999999993,-1540985.0,4244055.0
